# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
0.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.39980511e+02
0.1             	-1.00000000e-02	(1.00000000e+00 -0.00000000e+00 -0.00000000e+00)	-3.98680036e+01
0.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.11880724e+01
0.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.73946026e+00
0.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	3.21267741e+00
0.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.75971866e+00
0.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.68268166e+00
0.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.55928459e+00
0.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.46205808e+00
0.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.37515746e+00
0.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.29905181e+00
0.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.23174624e+00
0.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.17203070e+00
0.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.11882749e+00
0.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.07125273e+00
0.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.02856434e+00
0.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.99014015e+00
0.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.95545041e+00
0.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.92404530e+00
1               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.89556194e+00
1.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.86960081e+00
1.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.84595776e+00
1.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.82434952e+00
1.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.80456791e+00
1.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.78642373e+00
1.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.76975222e+00
1.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.75440777e+00
1.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.74026167e+00
1.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.72719990e+00
1.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.71512121e+00
1.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.70393525e+00
1.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.69356181e+00
1.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.68393656e+00
1.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.67497027e+00
1.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.66663414e+00
1.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.65886219e+00
1.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.65161083e+00
1.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.64483756e+00
1.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.63850447e+00
2               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.63257738e+00
2.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.62702522e+00
2.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.62181986e+00
2.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.61693568e+00
2.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.61234938e+00
2.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.60803973e+00
2.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.60398728e+00
2.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.60017427e+00
2.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.59658441e+00
2.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.59320275e+00
2.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.59001551e+00
2.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.58701006e+00
2.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.58417470e+00
2.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.58149866e+00
2.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57897195e+00
2.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57658535e+00
2.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57434239e+00
2.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57219625e+00
