"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,-0.5,0,0.039668,0,0,1.5187
0.1,-0.5,0,0,0,0,1.5064
0.2,-0.5,0,0,0,0,1.4908
0.3,-0.5,0,0,0,0,1.4755
0.4,-0.5,0,0,0,0,1.4602
0.5,-0.5,0,0,0,0,1.445
0.6,-0.5,0,0,0,0,1.4297
0.7,-0.5,0,0,0,0,1.4145
0.8,-0.5,0,0,0,0,1.3993
0.9,-0.5,0,0,0,0,1.3841
1,-0.5,0,0,0,0,1.3689
1.1,-0.5,0,0,0,0,1.3536
1.2,-0.5,0,0,0,0,1.3384
1.3,-0.5,0,0,0,0,1.3232
1.4,-0.5,0,0,0,0,1.308
1.5,-0.5,0,0,0,0,1.2928
1.6,-0.5,0,0,0,0,1.2776
1.7,-0.5,0,0,0,0,1.2624
1.8,-0.5,0,0,0,0,1.2472
1.9,-0.5,0,0,0,0,1.232
2,-0.5,0,0,0,0,1.2168
2.1,-0.5,0,0,0,0,1.2016
2.2,-0.5,0,0,0,0,1.1863
2.3,-0.5,0,0,0,0,1.1711
2.4,-0.5,0,0,0,0,1.1559
2.5,-0.5,0,0,0,0,1.1407
2.6,-0.5,0,0,0,0,1.1255
2.7,-0.5,0,0,0,0,1.1103
2.8,-0.5,0,0,0,0,1.0951
2.9,-0.5,0,0,0,0,1.0799
3,-0.5,0,0,0,0,1.0647
3.1,-0.5,0,0,0,0,1.0495
3.2,-0.5,0,0,0,0,1.0342
3.3,-0.5,0,0,0,0,1.019
3.4,-0.5,0,0,0,0,1.0038
3.5,-0.5,0,0,0,0,0.98862
3.6,-0.5,0,0,0,0,0.97341
3.7,-0.5,0,0,0,0,0.9582
3.8,-0.5,0,0,0,0,0.94299
3.9,-0.5,0,0,0,0,0.92778
4,-0.5,0,0,0,0,0.91257
4.1,-0.5,0,0,0,0,0.89736
4.2,-0.5,0,0,0,0,0.88215
4.3,-0.5,0,0,0,0,0.86694
4.4,-0.5,0,0,0,0,0.85173
4.5,-0.5,0,0,0,0,0.83652
4.6,-0.5,0,0,0,0,0.82131
4.7,-0.5,0,0,0,0,0.8061
4.8,-0.5,0,0,0,0,0.79089
4.9,-0.5,0,0,0,0,0.77569
5,-0.5,0,0,0,0,0.76048
5.1,-0.5,0,0,0,0,0.74527
5.2,-0.5,0,0,0,0,0.73006
5.3,-0.5,0,0,0,0,0.71485
5.4,-0.5,0,0,0,0,0.69964
5.5,-0.5,0,0,0,0,0.68443
5.6,-0.5,0,0,0,0,0.66922
5.7,-0.5,0,0,0,0,0.65401
5.8,-0.5,0,0,0,0,0.6388
5.9,-0.5,0,0,0,0,0.62359
6,-0.5,0,0,0,0,0.60838
6.1,-0.5,0,0,0,0,0.59317
6.2,-0.5,0,0,0,0,0.57796
6.3,-0.5,0,0,0,0,0.56275
6.4,-0.5,0,0,0,0,0.54754
6.5,-0.5,0,0,0,0,0.53233
6.6,-0.5,0,0,0,0,0.51712
6.7,-0.5,0,0,0,0,0.50191
6.8,-0.5,0,0,0,0,0.4867
6.9,-0.5,0,0,0,0,0.4715
7,-0.5,0,0,0,0,0.45629
7.1,-0.5,0,0,0,0,0.44108
7.2,-0.5,0,0,0,0,0.42587
7.3,-0.5,0,0,0,0,0.41066
7.4,-0.5,0,0,0,0,0.39545
7.5,-0.5,0,0,0,0,0.38024
7.6,-0.5,0,0,0,0,0.36503
7.7,-0.5,0,0,0,0,0.34982
7.8,-0.5,0,0,0,0,0.33461
7.9,-0.5,0,0,0,0,0.3194
8,-0.5,0,0,0,0,0.30419
8.1,-0.5,0,0,0,0,0.28898
8.2,-0.5,0,0,0,0,0.27377
8.3,-0.5,0,0,0,0,0.25856
8.4,-0.5,0,0,0,0,0.24335
8.5,-0.5,0,0,0,0,0.22814
8.6,-0.5,0,0,0,0,0.21293
8.7,-0.5,0,0,0,0,0.19772
8.8,-0.5,0,0,0,0,0.18251
8.9,-0.5,0,0,0,0,0.1673
9,-0.5,0,0,0,0,0.1521
9.1,-0.5,0,0,0,0,0.13689
9.2,-0.5,0,0,0,0,0.12168
9.3,-0.5,0,0,0,0,0.10647
9.4,-0.5,0,0,0,0,0.091257
9.5,-0.5,0,0,0,0,0.076048
9.6,-0.5,0,0,0,0,0.060838
9.7,-0.5,0,0,0,0,0.045629
9.8,-0.5,0,0,0,0,0.030419
9.9,-0.5,0,0,0,0,0.01521
10,-0.5,0,0.039459,1.4776e-07,0,0.0038023
0,-0.4,0,0.10577,0,0,1.523
0.1,-0.4,0,0.10595,0.0001916,0,1.5062
0.2,-0.4,0,0.10601,3.3078e-05,0,1.4906
0.3,-0.4,0,0.10566,-9.5433e-05,0,1.4754
0.4,-0.4,0,0.10579,-6.5248e-05,0,1.4602
0.5,-0.4,0,0.10586,-1.3906e-05,0,1.4449
0.6,-0.4,0,0.10585,4.4984e-06,0,1.4297
0.7,-0.4,0,0.10585,7.8324e-06,0,1.4145
0.8,-0.4,0,0.10585,7.3404e-06,0,1.3993
0.9,-0.4,0,0.10585,5.3852e-06,0,1.3841
1,-0.4,0,0.10584,3.4285e-06,0,1.3689
1.1,-0.4,0,0.10584,2.0607e-06,0,1.3536
1.2,-0.4,0,0.10584,1.2099e-06,0,1.3384
1.3,-0.4,0,0.10584,6.9757e-07,0,1.3232
1.4,-0.4,0,0.10584,3.9627e-07,0,1.308
1.5,-0.4,0,0.10584,2.2279e-07,0,1.2928
1.6,-0.4,0,0.10584,1.242e-07,0,1.2776
1.7,-0.4,0,0.10584,6.8654e-08,0,1.2624
1.8,-0.4,0,0.10584,3.7618e-08,0,1.2472
1.9,-0.4,0,0.10584,2.0433e-08,0,1.232
2,-0.4,0,0.10584,1.1006e-08,0,1.2168
2.1,-0.4,0,0.10584,5.8771e-09,0,1.2016
2.2,-0.4,0,0.10584,3.104e-09,0,1.1863
2.3,-0.4,0,0.10584,1.6137e-09,0,1.1711
2.4,-0.4,0,0.10584,8.1845e-10,0,1.1559
2.5,-0.4,0,0.10584,3.9404e-10,0,1.1407
2.6,-0.4,0,0.10584,1.5854e-10,0,1.1255
2.7,-0.4,0,0.10584,1.6257e-11,0,1.1103
2.8,-0.4,0,0.10584,-7.3416e-11,0,1.0951
2.9,-0.4,0,0.10584,-1.2511e-10,0,1.0799
3,-0.4,0,0.10584,-1.4837e-10,0,1.0647
3.1,-0.4,0,0.10584,-1.4995e-10,0,1.0495
3.2,-0.4,0,0.10584,-1.3184e-10,0,1.0342
3.3,-0.4,0,0.10584,-9.9003e-11,0,1.019
3.4,-0.4,0,0.10584,-5.7409e-11,0,1.0038
3.5,-0.4,0,0.10584,-1.1604e-11,0,0.98862
3.6,-0.4,0,0.10584,3.2913e-11,0,0.97341
3.7,-0.4,0,0.10584,7.0971e-11,0,0.9582
3.8,-0.4,0,0.10584,9.8089e-11,0,0.94299
3.9,-0.4,0,0.10584,1.1118e-10,0,0.92778
4,-0.4,0,0.10584,1.1041e-10,0,0.91257
4.1,-0.4,0,0.10584,9.6286e-11,0,0.89736
4.2,-0.4,0,0.10584,6.8532e-11,0,0.88215
4.3,-0.4,0,0.10584,3.081e-11,0,0.86694
4.4,-0.4,0,0.10584,-1.1254e-11,0,0.85173
4.5,-0.4,0,0.10584,-5.5237e-11,0,0.83652
4.6,-0.4,0,0.10584,-9.8204e-11,0,0.82131
4.7,-0.4,0,0.10584,-1.3501e-10,0,0.8061
4.8,-0.4,0,0.10584,-1.5953e-10,0,0.79089
4.9,-0.4,0,0.10584,-1.6969e-10,0,0.77569
5,-0.4,0,0.10584,-1.6691e-10,0,0.76048
5.1,-0.4,0,0.10584,-1.5088e-10,0,0.74527
5.2,-0.4,0,0.10584,-1.2077e-10,0,0.73006
5.3,-0.4,0,0.10584,-7.9002e-11,0,0.71485
5.4,-0.4,0,0.10584,-3.0935e-11,0,0.69964
5.5,-0.4,0,0.10584,2.078e-11,0,0.68443
5.6,-0.4,0,0.10584,7.5415e-11,0,0.66922
5.7,-0.4,0,0.10584,1.2744e-10,0,0.65401
5.8,-0.4,0,0.10584,1.7084e-10,0,0.6388
5.9,-0.4,0,0.10584,2.038e-10,0,0.62359
6,-0.4,0,0.10584,2.2521e-10,0,0.60838
6.1,-0.4,0,0.10584,2.3417e-10,0,0.59317
6.2,-0.4,0,0.10584,2.2802e-10,0,0.57796
6.3,-0.4,0,0.10584,2.0745e-10,0,0.56275
6.4,-0.4,0,0.10584,1.7518e-10,0,0.54754
6.5,-0.4,0,0.10584,1.3236e-10,0,0.53233
6.6,-0.4,0,0.10584,7.9666e-11,0,0.51712
6.7,-0.4,0,0.10584,2.0626e-11,0,0.50191
6.8,-0.4,0,0.10584,-4.133e-11,0,0.4867
6.9,-0.4,0,0.10584,-1.0413e-10,0,0.4715
7,-0.4,0,0.10584,-1.6347e-10,0,0.45629
7.1,-0.4,0,0.10584,-2.159e-10,0,0.44108
7.2,-0.4,0,0.10584,-2.5824e-10,0,0.42587
7.3,-0.4,0,0.10584,-2.8898e-10,0,0.41066
7.4,-0.4,0,0.10584,-3.0843e-10,0,0.39545
7.5,-0.4,0,0.10584,-3.1553e-10,0,0.38024
7.6,-0.4,0,0.10584,-3.0811e-10,0,0.36503
7.7,-0.4,0,0.10584,-2.8722e-10,0,0.34982
7.8,-0.4,0,0.10584,-2.5571e-10,0,0.33461
7.9,-0.4,0,0.10584,-2.15e-10,0,0.3194
8,-0.4,0,0.10584,-1.6395e-10,0,0.30419
8.1,-0.4,0,0.10584,-1.0339e-10,0,0.28898
8.2,-0.4,0,0.10584,-3.5977e-11,0,0.27377
8.3,-0.4,0,0.10584,4.0592e-11,0,0.25856
8.4,-0.4,0,0.10584,1.2657e-10,0,0.24335
8.5,-0.4,0,0.10584,2.0892e-10,0,0.22814
8.6,-0.4,0,0.10584,2.6747e-10,0,0.21293
8.7,-0.4,0,0.10584,2.7645e-10,0,0.19772
8.8,-0.4,0,0.10584,2.0021e-10,0,0.18251
8.9,-0.4,0,0.10584,-1.8204e-11,0,0.1673
9,-0.4,0,0.10584,-5.0248e-10,0,0.1521
9.1,-0.4,0,0.10584,-1.5229e-09,0,0.13689
9.2,-0.4,0,0.10584,-3.8004e-09,0,0.12168
9.3,-0.4,0,0.10584,-8.8307e-09,0,0.10647
9.4,-0.4,0,0.10584,-1.9075e-08,0,0.091257
9.5,-0.4,0,0.10584,-4.6371e-08,0,0.076048
9.6,-0.4,0,0.10584,-1.2692e-07,0,0.060838
9.7,-0.4,0,0.10584,-2.2035e-07,0,0.045629
9.8,-0.4,0,0.10584,-5.8452e-08,0,0.030419
9.9,-0.4,0,0.10584,3.0753e-07,0,0.01521
10,-0.4,0,0.10584,4.7823e-07,0,0
0,-0.3,0,0.13978,0,0,1.523
0.1,-0.3,0,0.14028,0.00015196,0,1.506
0.2,-0.3,0,0.14055,-4.645e-05,0,1.4904
0.3,-0.3,0,0.13997,-0.00017738,0,1.4753
0.4,-0.3,0,0.14008,-0.00012559,0,1.4601
0.5,-0.3,0,0.14016,-4.964e-05,0,1.4449
0.6,-0.3,0,0.14015,-1.263e-05,0,1.4297
0.7,-0.3,0,0.14016,1.2879e-06,0,1.4145
0.8,-0.3,0,0.14017,5.5653e-06,0,1.3993
0.9,-0.3,0,0.14017,5.3989e-06,0,1.3841
1,-0.3,0,0.14017,3.937e-06,0,1.3689
1.1,-0.3,0,0.14017,2.5832e-06,0,1.3536
1.2,-0.3,0,0.14017,1.6143e-06,0,1.3384
1.3,-0.3,0,0.14017,9.7655e-07,0,1.3232
1.4,-0.3,0,0.14017,5.7683e-07,0,1.308
1.5,-0.3,0,0.14017,3.3499e-07,0,1.2928
1.6,-0.3,0,0.14017,1.9194e-07,0,1.2776
1.7,-0.3,0,0.14017,1.0865e-07,0,1.2624
1.8,-0.3,0,0.14017,6.0795e-08,0,1.2472
1.9,-0.3,0,0.14017,3.3644e-08,0,1.232
2,-0.3,0,0.14017,1.8421e-08,0,1.2168
2.1,-0.3,0,0.14017,9.9746e-09,0,1.2016
2.2,-0.3,0,0.14017,5.3327e-09,0,1.1863
2.3,-0.3,0,0.14017,2.8051e-09,0,1.1711
2.4,-0.3,0,0.14017,1.4373e-09,0,1.1559
2.5,-0.3,0,0.14017,6.948e-10,0,1.1407
2.6,-0.3,0,0.14017,2.8516e-10,0,1.1255
2.7,-0.3,0,0.14017,5.3283e-11,0,1.1103
