# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.05            	U               	(-5.39653786e-03 -2.00917603e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(-5.39653786e-03 -2.00917603e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.05            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.69927048e+00	(2.50000000e-01 -5.00000000e-02 5.00000000e-02)
0.1             	U               	(1.56910514e-03 -2.57038500e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(1.56910514e-03 -2.57038500e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.1             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.52300000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.15            	U               	(8.49985770e-03 -2.36153406e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.49985770e-03 -2.36153406e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.15            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.52300000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.2             	U               	(1.52285785e-02 -2.06259867e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(1.52285785e-02 -2.06259867e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.2             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.52300000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.25            	U               	(2.14404764e-02 -1.75335888e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(2.14404764e-02 -1.75335888e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.25            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.52300000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.3             	U               	(2.71901508e-02 -1.46889199e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(2.71901508e-02 -1.46889199e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.3             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.52300000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.35            	U               	(3.25162724e-02 -1.21708606e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(3.25162724e-02 -1.21708606e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.35            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.52300000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
