# Region type : patch outlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.05            	7.18907515e-04
0.1             	1.45760238e-03
0.15            	2.18027124e-03
0.2             	2.89205476e-03
0.25            	3.59363625e-03
0.3             	4.28584212e-03
0.35            	4.96927632e-03
0.4             	5.64449626e-03
0.45            	6.31197073e-03
0.5             	6.97212973e-03
0.55            	7.62535390e-03
0.6             	8.27198038e-03
0.65            	8.91231029e-03
0.7             	9.54661473e-03
0.75            	1.01751418e-02
0.8             	1.07981177e-02
0.85            	1.14157478e-02
0.9             	1.20282085e-02
0.95            	1.26356907e-02
1               	1.32383385e-02
1.05            	1.38363046e-02
1.1             	1.44297003e-02
1.15            	1.50186725e-02
1.2             	1.56033289e-02
1.25            	1.61837534e-02
1.3             	1.67600745e-02
1.35            	1.73323791e-02
1.4             	1.79007287e-02
1.45            	1.84652347e-02
1.5             	1.90259667e-02
1.55            	1.95829721e-02
1.6             	2.01363506e-02
1.65            	2.06861592e-02
1.7             	2.12324340e-02
1.75            	2.17752650e-02
1.8             	2.23146993e-02
1.85            	2.28507648e-02
1.9             	2.33835441e-02
1.95            	2.39130765e-02
2               	2.44393834e-02
2.05            	2.49625416e-02
2.1             	2.54825836e-02
2.15            	2.59995391e-02
2.2             	2.65134503e-02
2.25            	2.70243568e-02
2.3             	2.75322949e-02
2.35            	2.80372993e-02
2.4             	2.85394031e-02
2.45            	2.90386384e-02
2.5             	2.95350367e-02
2.55            	3.00286279e-02
2.6             	3.05194416e-02
2.65            	3.10075060e-02
2.7             	3.14928486e-02
2.75            	3.19754962e-02
2.8             	3.24554748e-02
2.85            	3.29328095e-02
2.9             	3.34075249e-02
2.95            	3.38796449e-02
3               	3.43491927e-02
3.05            	3.48161911e-02
3.1             	3.52806622e-02
3.15            	3.57426275e-02
3.2             	3.62021081e-02
3.25            	3.66591246e-02
3.3             	3.71136971e-02
3.35            	3.75658451e-02
3.4             	3.80155881e-02
3.45            	3.84629447e-02
3.5             	3.89079334e-02
3.55            	3.93505723e-02
3.6             	3.97908789e-02
3.65            	4.02288707e-02
3.7             	4.06645648e-02
3.75            	4.10979776e-02
3.8             	4.15291257e-02
3.85            	4.19580250e-02
3.9             	4.23846915e-02
3.95            	4.28091405e-02
4               	4.32313875e-02
4.05            	4.36514473e-02
4.1             	4.40693348e-02
4.15            	4.44850644e-02
4.2             	4.48986505e-02
4.25            	4.53101073e-02
4.3             	4.57194484e-02
4.35            	4.61266876e-02
4.4             	4.65318383e-02
4.45            	4.69349139e-02
4.5             	4.73359273e-02
4.55            	4.77348917e-02
4.6             	4.81318196e-02
4.65            	4.85267238e-02
4.7             	4.89196165e-02
4.75            	4.93105100e-02
4.8             	4.96994165e-02
4.85            	5.00863480e-02
4.9             	5.04713162e-02
4.95            	5.08543328e-02
5               	5.12354094e-02
5.05            	5.16145574e-02
5.1             	5.19917881e-02
5.15            	5.23671126e-02
5.2             	5.27405421e-02
5.25            	5.31120875e-02
5.3             	5.34817595e-02
5.35            	5.38495689e-02
5.4             	5.42155264e-02
5.45            	5.45796424e-02
5.5             	5.49419273e-02
5.55            	5.53023914e-02
5.6             	5.56610450e-02
5.65            	5.60178984e-02
5.7             	5.63729610e-02
5.75            	5.67262433e-02
5.8             	5.70777547e-02
5.85            	5.74275055e-02
5.9             	5.77755050e-02
5.95            	5.81217630e-02
6               	5.84662889e-02
6.05            	5.88090922e-02
6.1             	5.91501822e-02
6.15            	5.94895683e-02
6.2             	5.98272598e-02
6.25            	6.01632656e-02
6.3             	6.04975948e-02
6.35            	6.08302564e-02
6.4             	6.11612595e-02
6.45            	6.14906129e-02
6.5             	6.18183254e-02
6.55            	6.21444058e-02
6.6             	6.24688628e-02
6.65            	6.27917050e-02
6.7             	6.31129409e-02
6.75            	6.34325791e-02
6.8             	6.37506280e-02
6.85            	6.40670960e-02
6.9             	6.43819913e-02
6.95            	6.46953225e-02
7               	6.50070975e-02
7.05            	6.53173246e-02
7.1             	6.56260118e-02
7.15            	6.59331672e-02
7.2             	6.62387989e-02
7.25            	6.65429148e-02
7.3             	6.68455228e-02
7.35            	6.71466310e-02
7.4             	6.74462469e-02
7.45            	6.77443784e-02
7.5             	6.80410332e-02
7.55            	6.83362189e-02
7.6             	6.86299432e-02
7.65            	6.89222137e-02
7.7             	6.92130379e-02
7.75            	6.95024232e-02
7.8             	6.97903771e-02
7.85            	7.00769071e-02
7.9             	7.03620204e-02
7.95            	7.06457243e-02
8               	7.09280263e-02
8.05            	7.12089335e-02
8.1             	7.14884531e-02
8.15            	7.17665919e-02
8.2             	7.20433572e-02
8.25            	7.23187559e-02
8.3             	7.25927957e-02
8.35            	7.28654833e-02
8.4             	7.31368255e-02
8.45            	7.34068293e-02
8.5             	7.36755014e-02
8.55            	7.39428486e-02
8.6             	7.42088778e-02
8.65            	7.44735958e-02
8.7             	7.47370092e-02
8.75            	7.49991248e-02
8.8             	7.52599491e-02
8.85            	7.55194888e-02
8.9             	7.57777505e-02
8.95            	7.60347406e-02
9               	7.62904657e-02
9.05            	7.65449322e-02
9.1             	7.67981466e-02
9.15            	7.70501152e-02
9.2             	7.73008444e-02
9.25            	7.75503406e-02
9.3             	7.77986100e-02
9.35            	7.80456588e-02
9.4             	7.82914933e-02
9.45            	7.85361200e-02
9.5             	7.87795444e-02
9.55            	7.90217728e-02
9.6             	7.92628114e-02
9.65            	7.95026662e-02
9.7             	7.97413434e-02
9.75            	7.99788493e-02
9.8             	8.02151896e-02
9.85            	8.04503699e-02
