# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
1               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.76717149e+01
2               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	4.54804581e+01
3               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	4.83942811e+01
4               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	3.33221215e+01
5               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.21524178e+01
6               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	-4.53416344e+00
7               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	-1.12306528e+01
8               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	-1.04409955e+01
9               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	-5.90721006e+00
10              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	-8.21797097e-01
11              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.89461170e+00
12              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	4.63544580e+00
13              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	4.72937725e+00
14              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	3.82321787e+00
15              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.66215412e+00
16              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.74007791e+00
17              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.25269820e+00
18              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.16549880e+00
19              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.32552516e+00
20              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56504496e+00
21              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.76416485e+00
22              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.86970339e+00
23              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.88346609e+00
24              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.83739557e+00
25              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.76953692e+00
26              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.70865305e+00
27              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.66862666e+00
28              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.65042959e+00
29              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.64746244e+00
30              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.65112442e+00
31              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.65459273e+00
32              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.65430925e+00
33              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.64971080e+00
34              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.64208552e+00
35              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.63330469e+00
36              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.62491833e+00
37              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.61776773e+00
38              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.61200923e+00
39              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.60736011e+00
40              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.60339046e+00
41              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.59970373e+00
42              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.59608708e+00
43              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.59247305e+00
44              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.58890078e+00
45              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.58544216e+00
46              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.58216665e+00
47              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57911140e+00
48              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57627932e+00
49              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57365009e+00
50              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57119443e+00
51              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56888521e+00
52              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56670297e+00
53              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56463659e+00
54              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56268090e+00
55              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56083341e+00
56              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55909176e+00
57              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55745236e+00
58              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55591017e+00
59              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55445925e+00
60              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55309352e+00
61              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55180730e+00
62              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55059559e+00
63              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54945402e+00
64              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54837873e+00
65              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54736616e+00
66              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54641296e+00
67              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54551592e+00
68              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54467194e+00
69              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54388002e+00
70              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54313374e+00
71              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54243095e+00
72              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54176979e+00
73              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54114835e+00
74              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54056458e+00
75              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54001638e+00
76              	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53950162e+00
