# Region type : patch outlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
1               	9.99989813e-02
2               	9.99976946e-02
3               	9.99999524e-02
4               	1.00000475e-01
5               	1.00000294e-01
6               	1.00000071e-01
7               	9.99999743e-02
8               	1.00000007e-01
9               	9.99998433e-02
10              	9.99998135e-02
11              	9.99998421e-02
12              	9.99999105e-02
13              	9.99999890e-02
14              	1.00000081e-01
15              	1.00000061e-01
16              	1.00000003e-01
17              	1.00000064e-01
18              	1.00000016e-01
19              	9.99999879e-02
20              	9.99999797e-02
21              	9.99999872e-02
22              	9.99999949e-02
23              	9.99999806e-02
24              	1.00000008e-01
25              	1.00000004e-01
26              	1.00000034e-01
27              	1.00000005e-01
28              	1.00000011e-01
29              	1.00000009e-01
30              	9.99999967e-02
31              	9.99999978e-02
32              	1.00000009e-01
33              	1.00000007e-01
34              	1.00000005e-01
35              	1.00000008e-01
36              	1.00000008e-01
37              	1.00000008e-01
38              	1.00000006e-01
39              	1.00000005e-01
40              	1.00000025e-01
41              	1.00000005e-01
42              	1.00000005e-01
43              	1.00000005e-01
44              	1.00000012e-01
45              	1.00000010e-01
46              	1.00000009e-01
47              	1.00000009e-01
48              	1.00000009e-01
49              	1.00000009e-01
50              	1.00000008e-01
51              	1.00000007e-01
52              	1.00000006e-01
53              	1.00000006e-01
54              	1.00000005e-01
55              	1.00000005e-01
56              	1.00000006e-01
57              	1.00000006e-01
58              	1.00000006e-01
59              	1.00000007e-01
60              	1.00000007e-01
61              	1.00000007e-01
62              	1.00000006e-01
63              	1.00000006e-01
64              	1.00000006e-01
65              	1.00000006e-01
66              	1.00000006e-01
67              	1.00000005e-01
68              	1.00000005e-01
69              	1.00000010e-01
70              	1.00000009e-01
71              	1.00000008e-01
72              	1.00000007e-01
73              	1.00000006e-01
74              	1.00000006e-01
75              	1.00000005e-01
76              	1.00000005e-01
77              	1.00000004e-01
78              	1.00000004e-01
79              	1.00000003e-01
80              	1.00000003e-01
81              	1.00000003e-01
82              	1.00000003e-01
83              	1.00000003e-01
84              	1.00000002e-01
85              	1.00000034e-01
86              	1.00000033e-01
87              	1.00000032e-01
88              	1.00000030e-01
89              	1.00000029e-01
90              	1.00000028e-01
91              	1.00000026e-01
92              	1.00000025e-01
93              	1.00000024e-01
94              	1.00000023e-01
95              	1.00000022e-01
96              	1.00000021e-01
97              	1.00000020e-01
98              	1.00000019e-01
99              	1.00000018e-01
100             	1.00000018e-01
101             	1.00000017e-01
102             	1.00000016e-01
103             	1.00000016e-01
104             	1.00000015e-01
105             	1.00000014e-01
106             	1.00000014e-01
107             	1.00000013e-01
108             	1.00000012e-01
