# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
0.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.39978841e+02
0.1             	-1.00000000e-02	(1.00000000e+00 -0.00000000e+00 -0.00000000e+00)	-3.98673881e+01
0.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.11896010e+01
0.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.73872627e+00
0.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	3.21289795e+00
0.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.75969962e+00
0.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.68268596e+00
0.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.55928471e+00
0.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.46205891e+00
0.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.37515820e+00
0.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.29905255e+00
0.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.23174692e+00
0.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.17203133e+00
0.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.11882805e+00
0.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.07125323e+00
0.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	2.02856480e+00
0.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.99014056e+00
0.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.95545077e+00
0.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.92404562e+00
1               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.89556225e+00
1.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.86960103e+00
1.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.84595798e+00
1.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.82434973e+00
1.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.80456809e+00
1.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.78642388e+00
1.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.76975235e+00
1.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.75440793e+00
1.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.74026176e+00
1.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.72720001e+00
1.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.71512130e+00
1.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.70393533e+00
1.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.69356188e+00
1.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.68393663e+00
1.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.67497033e+00
1.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.66663419e+00
1.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.65886226e+00
1.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.65161087e+00
1.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.64483760e+00
1.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.63850452e+00
2               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.63257740e+00
2.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.62702525e+00
2.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.62181989e+00
2.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.61693571e+00
2.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.61234950e+00
2.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.60803969e+00
2.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.60398727e+00
2.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.60017428e+00
2.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.59658442e+00
2.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.59320276e+00
2.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.59001553e+00
2.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.58701008e+00
2.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.58417472e+00
2.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.58149867e+00
2.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57897196e+00
2.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57658535e+00
2.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57434240e+00
2.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57219628e+00
2.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.57018355e+00
2.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56827729e+00
3               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56647444e+00
3.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56476848e+00
3.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56315395e+00
3.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56162562e+00
3.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.56017868e+00
3.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55880852e+00
3.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55751090e+00
3.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55628182e+00
3.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55511751e+00
3.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55401461e+00
3.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55296945e+00
3.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55197935e+00
3.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55104102e+00
3.65            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.55015199e+00
3.7             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54930947e+00
3.75            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54851110e+00
3.8             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54775454e+00
3.85            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54703763e+00
3.9             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54635831e+00
3.95            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54571461e+00
4               	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54510473e+00
4.05            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54452692e+00
4.1             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54397952e+00
4.15            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54346100e+00
4.2             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54296987e+00
4.25            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54250475e+00
4.3             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54206430e+00
4.35            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54164729e+00
4.4             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54125252e+00
4.45            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54087887e+00
4.5             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54052527e+00
4.55            	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.54019071e+00
4.6             	-1.00000000e-02	(1.00000000e+00 0.00000000e+00 0.00000000e+00)	1.53987423e+00
