# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.05            	U               	(8.38386892e-01 1.09709047e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.38386892e-01 1.09709047e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.05            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	2.40049599e+02	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.1             	U               	(8.20233541e-01 2.65014324e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.20233541e-01 2.65014324e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.1             	p               	-4.02958571e+01	(2.50000000e-01 -5.00000000e-02 5.00000000e-02)	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)
0.15            	U               	(8.59471666e-01 3.16109390e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.59471666e-01 3.16109390e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.15            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.13226662e+01	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.2             	U               	(8.88334920e-01 3.44507162e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.88334920e-01 3.44507162e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.2             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.86825986e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
0.25            	U               	(9.04533482e-01 3.59629342e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.04533482e-01 3.59629342e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.25            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	3.34670420e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.3             	U               	(9.13455663e-01 3.66545351e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.13455663e-01 3.66545351e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
