# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.05            	U               	(8.38393014e-01 1.09705916e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.38393014e-01 1.09705916e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.05            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	2.40051248e+02	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
0.1             	U               	(8.20236021e-01 2.65012410e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.20236021e-01 2.65012410e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.1             	p               	-4.02965382e+01	(2.50000000e-01 -5.00000000e-02 5.00000000e-02)	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)
0.15            	U               	(8.59466018e-01 3.16111205e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.59466018e-01 3.16111205e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.15            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.13211641e+01	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.2             	U               	(8.88331265e-01 3.44505878e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.88331265e-01 3.44505878e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.2             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.86900045e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
0.25            	U               	(9.04531744e-01 3.59628310e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.04531744e-01 3.59628310e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.25            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	3.34648379e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.3             	U               	(9.13454686e-01 3.66544531e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.13454686e-01 3.66544531e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.3             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	2.89534993e+00	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
0.35            	U               	(9.18201916e-01 3.68793182e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.18201916e-01 3.68793182e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.35            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	2.81975490e+00	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
