# Region type : patch outlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	max(U)	max(p)
0.05            	(1.01908269e+00 1.75609413e-04 0.00000000e+00)	0.00000000e+00
0.1             	(1.09094970e+00 1.62977562e-03 0.00000000e+00)	0.00000000e+00
0.15            	(1.07069475e+00 2.97973059e-04 0.00000000e+00)	0.00000000e+00
0.2             	(1.08516061e+00 1.53323962e-04 0.00000000e+00)	0.00000000e+00
0.25            	(1.09380543e+00 3.94414762e-04 0.00000000e+00)	0.00000000e+00
0.3             	(1.10382788e+00 6.23965775e-04 0.00000000e+00)	0.00000000e+00
0.35            	(1.11403572e+00 8.19559969e-04 0.00000000e+00)	0.00000000e+00
0.4             	(1.12444622e+00 9.41027762e-04 0.00000000e+00)	0.00000000e+00
0.45            	(1.13488934e+00 9.85958003e-04 0.00000000e+00)	0.00000000e+00
0.5             	(1.14528117e+00 9.65110605e-04 0.00000000e+00)	0.00000000e+00
0.55            	(1.15554670e+00 8.94209835e-04 0.00000000e+00)	0.00000000e+00
0.6             	(1.16562947e+00 7.90698665e-04 0.00000000e+00)	0.00000000e+00
0.65            	(1.17548808e+00 6.70857462e-04 0.00000000e+00)	0.00000000e+00
0.7             	(1.18509376e+00 5.48168022e-04 0.00000000e+00)	0.00000000e+00
0.75            	(1.19442808e+00 4.32244446e-04 0.00000000e+00)	0.00000000e+00
0.8             	(1.20348211e+00 3.29314704e-04 0.00000000e+00)	0.00000000e+00
0.85            	(1.21225326e+00 2.42918965e-04 0.00000000e+00)	0.00000000e+00
0.9             	(1.22074388e+00 1.83051916e-04 0.00000000e+00)	0.00000000e+00
0.95            	(1.22895999e+00 1.40683232e-04 0.00000000e+00)	0.00000000e+00
1               	(1.23690999e+00 1.06169917e-04 0.00000000e+00)	0.00000000e+00
1.05            	(1.24460275e+00 7.87933903e-05 0.00000000e+00)	0.00000000e+00
1.1             	(1.25204852e+00 5.76049733e-05 0.00000000e+00)	0.00000000e+00
1.15            	(1.25925721e+00 4.15682436e-05 0.00000000e+00)	0.00000000e+00
1.2             	(1.26623829e+00 2.96606349e-05 0.00000000e+00)	0.00000000e+00
1.25            	(1.27300062e+00 2.09636576e-05 0.00000000e+00)	0.00000000e+00
1.3             	(1.27955242e+00 1.46873372e-05 0.00000000e+00)	0.00000000e+00
1.35            	(1.28590110e+00 1.01781714e-05 0.00000000e+00)	0.00000000e+00
1.4             	(1.29205352e+00 7.44301330e-06 0.00000000e+00)	0.00000000e+00
1.45            	(1.29801591e+00 5.63711998e-06 0.00000000e+00)	0.00000000e+00
1.5             	(1.30379401e+00 4.00621537e-06 0.00000000e+00)	0.00000000e+00
1.55            	(1.30939323e+00 2.59282730e-06 0.00000000e+00)	0.00000000e+00
1.6             	(1.31481853e+00 1.31970905e-06 0.00000000e+00)	0.00000000e+00
1.65            	(1.32007489e+00 1.58161801e-06 0.00000000e+00)	0.00000000e+00
1.7             	(1.32516678e+00 2.45760476e-06 0.00000000e+00)	0.00000000e+00
1.75            	(1.33009869e+00 3.20110380e-06 0.00000000e+00)	0.00000000e+00
1.8             	(1.33487495e+00 3.82063641e-06 0.00000000e+00)	0.00000000e+00
1.85            	(1.33949977e+00 4.31150306e-06 0.00000000e+00)	0.00000000e+00
1.9             	(1.34397726e+00 4.67549430e-06 0.00000000e+00)	0.00000000e+00
1.95            	(1.34831145e+00 4.92600643e-06 0.00000000e+00)	0.00000000e+00
2               	(1.35250628e+00 5.07811412e-06 0.00000000e+00)	0.00000000e+00
2.05            	(1.35656562e+00 5.14884866e-06 0.00000000e+00)	0.00000000e+00
2.1             	(1.36049326e+00 5.15468738e-06 0.00000000e+00)	0.00000000e+00
2.15            	(1.36429293e+00 5.11082123e-06 0.00000000e+00)	0.00000000e+00
2.2             	(1.36796827e+00 5.03001406e-06 0.00000000e+00)	0.00000000e+00
2.25            	(1.37152286e+00 4.92271861e-06 0.00000000e+00)	0.00000000e+00
2.3             	(1.37496020e+00 4.79705514e-06 0.00000000e+00)	0.00000000e+00
2.35            	(1.37828372e+00 4.65924903e-06 0.00000000e+00)	0.00000000e+00
2.4             	(1.38149678e+00 4.51394621e-06 0.00000000e+00)	0.00000000e+00
2.45            	(1.38460267e+00 4.36454886e-06 0.00000000e+00)	0.00000000e+00
2.5             	(1.38760461e+00 4.21353446e-06 0.00000000e+00)	0.00000000e+00
2.55            	(1.39050573e+00 4.06271065e-06 0.00000000e+00)	0.00000000e+00
2.6             	(1.39330911e+00 3.91339981e-06 0.00000000e+00)	0.00000000e+00
2.65            	(1.39601775e+00 3.76656928e-06 0.00000000e+00)	0.00000000e+00
2.7             	(1.39863458e+00 3.62293466e-06 0.00000000e+00)	0.00000000e+00
2.75            	(1.40116247e+00 3.48302190e-06 0.00000000e+00)	0.00000000e+00
2.8             	(1.40360423e+00 3.34681068e-06 0.00000000e+00)	0.00000000e+00
2.85            	(1.40596254e+00 3.21626570e-06 0.00000000e+00)	0.00000000e+00
2.9             	(1.40824005e+00 3.08986148e-06 0.00000000e+00)	0.00000000e+00
2.95            	(1.41043937e+00 2.96860511e-06 0.00000000e+00)	0.00000000e+00
3               	(1.41256300e+00 2.85331019e-06 0.00000000e+00)	0.00000000e+00
3.05            	(1.41461340e+00 2.74343144e-06 0.00000000e+00)	0.00000000e+00
3.1             	(1.41659295e+00 2.63853711e-06 0.00000000e+00)	0.00000000e+00
3.15            	(1.41850395e+00 2.53824106e-06 0.00000000e+00)	0.00000000e+00
3.2             	(1.42034867e+00 2.44218113e-06 0.00000000e+00)	0.00000000e+00
3.25            	(1.42212928e+00 2.35000987e-06 0.00000000e+00)	0.00000000e+00
3.3             	(1.42384792e+00 2.26142269e-06 0.00000000e+00)	0.00000000e+00
3.35            	(1.42550664e+00 2.17616968e-06 0.00000000e+00)	0.00000000e+00
3.4             	(1.42710744e+00 2.09405332e-06 0.00000000e+00)	0.00000000e+00
3.45            	(1.42865228e+00 2.01492198e-06 0.00000000e+00)	0.00000000e+00
3.5             	(1.43014302e+00 1.93865974e-06 0.00000000e+00)	0.00000000e+00
3.55            	(1.43158150e+00 1.86517654e-06 0.00000000e+00)	0.00000000e+00
3.6             	(1.43296949e+00 1.79439928e-06 0.00000000e+00)	0.00000000e+00
3.65            	(1.43430870e+00 1.72626325e-06 0.00000000e+00)	0.00000000e+00
