# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.05            	-7.18904442e-04
0.1             	-1.45747419e-03
0.15            	-2.18032694e-03
0.2             	-2.89200210e-03
0.25            	-3.59370596e-03
0.3             	-4.28581907e-03
0.35            	-4.96931122e-03
0.4             	-5.64451925e-03
0.45            	-6.31201742e-03
0.5             	-6.97221435e-03
0.55            	-7.62539145e-03
0.6             	-8.27192815e-03
0.65            	-8.91218689e-03
0.7             	-9.54645715e-03
0.75            	-1.01749719e-02
0.8             	-1.07979379e-02
0.85            	-1.14155743e-02
0.9             	-1.20282045e-02
0.95            	-1.26356248e-02
1               	-1.32383250e-02
1.05            	-1.38361644e-02
1.1             	-1.44296906e-02
1.15            	-1.50185749e-02
1.2             	-1.56031556e-02
1.25            	-1.61837410e-02
1.3             	-1.67599848e-02
1.35            	-1.73322081e-02
1.4             	-1.79007140e-02
1.45            	-1.84651359e-02
1.5             	-1.90257986e-02
1.55            	-1.95829572e-02
1.6             	-2.01362501e-02
1.65            	-2.06859962e-02
1.7             	-2.12324182e-02
1.75            	-2.17751607e-02
1.8             	-2.23145424e-02
1.85            	-2.28507485e-02
1.9             	-2.33834372e-02
1.95            	-2.39129269e-02
2               	-2.44393668e-02
2.05            	-2.49624325e-02
2.1             	-2.54824425e-02
2.15            	-2.59994230e-02
2.2             	-2.65133243e-02
2.25            	-2.70242284e-02
2.3             	-2.75321711e-02
2.35            	-2.80371787e-02
2.4             	-2.85392855e-02
2.45            	-2.90385240e-02
2.5             	-2.95349252e-02
2.55            	-3.00285195e-02
2.6             	-3.05193361e-02
2.65            	-3.10074035e-02
2.7             	-3.14927491e-02
2.75            	-3.19753997e-02
2.8             	-3.24553811e-02
2.85            	-3.29327187e-02
2.9             	-3.34074370e-02
2.95            	-3.38795598e-02
3               	-3.43491105e-02
3.05            	-3.48161116e-02
3.1             	-3.52805854e-02
3.15            	-3.57425533e-02
3.2             	-3.62020365e-02
3.25            	-3.66590556e-02
3.3             	-3.71136305e-02
3.35            	-3.75657810e-02
3.4             	-3.80155263e-02
3.45            	-3.84628851e-02
3.5             	-3.89078761e-02
3.55            	-3.93505170e-02
3.6             	-3.97908257e-02
3.65            	-4.02288195e-02
3.7             	-4.06645154e-02
3.75            	-4.10979300e-02
3.8             	-4.15290798e-02
3.85            	-4.19579808e-02
3.9             	-4.23846488e-02
3.95            	-4.28090993e-02
4               	-4.32313476e-02
4.05            	-4.36514087e-02
4.1             	-4.40692974e-02
4.15            	-4.44850280e-02
4.2             	-4.48986151e-02
4.25            	-4.53100726e-02
4.3             	-4.57194146e-02
4.35            	-4.61266545e-02
4.4             	-4.65318058e-02
4.45            	-4.69348820e-02
4.5             	-4.73358960e-02
4.55            	-4.77348607e-02
4.6             	-4.81317890e-02
4.65            	-4.85266934e-02
4.7             	-4.89195862e-02
4.75            	-4.93104798e-02
4.8             	-4.96993864e-02
4.85            	-5.00863178e-02
4.9             	-5.04712858e-02
4.95            	-5.08543022e-02
5               	-5.12353786e-02
5.05            	-5.16145263e-02
5.1             	-5.19917566e-02
5.15            	-5.23670807e-02
5.2             	-5.27405097e-02
5.25            	-5.31120546e-02
5.3             	-5.34817261e-02
5.35            	-5.38495349e-02
5.4             	-5.42154917e-02
5.45            	-5.45796070e-02
5.5             	-5.49418912e-02
5.55            	-5.53023545e-02
5.6             	-5.56610073e-02
5.65            	-5.60178597e-02
5.7             	-5.63729215e-02
5.75            	-5.67262029e-02
5.8             	-5.70777135e-02
5.85            	-5.74274634e-02
5.9             	-5.77754620e-02
5.95            	-5.81217190e-02
6               	-5.84662440e-02
6.05            	-5.88090463e-02
6.1             	-5.91501354e-02
6.15            	-5.94895205e-02
6.2             	-5.98272108e-02
6.25            	-6.01632156e-02
6.3             	-6.04975440e-02
6.35            	-6.08302049e-02
6.4             	-6.11612072e-02
6.45            	-6.14905599e-02
6.5             	-6.18182717e-02
6.55            	-6.21443513e-02
6.6             	-6.24688075e-02
6.65            	-6.27916490e-02
6.7             	-6.31128843e-02
6.75            	-6.34325218e-02
6.8             	-6.37505701e-02
6.85            	-6.40670375e-02
6.9             	-6.43819324e-02
6.95            	-6.46952632e-02
7               	-6.50070378e-02
7.05            	-6.53172644e-02
7.1             	-6.56259513e-02
7.15            	-6.59331065e-02
7.2             	-6.62387381e-02
7.25            	-6.65428540e-02
7.3             	-6.68454620e-02
7.35            	-6.71465703e-02
7.4             	-6.74461864e-02
7.45            	-6.77443181e-02
7.5             	-6.80409732e-02
7.55            	-6.83361593e-02
7.6             	-6.86298840e-02
7.65            	-6.89221549e-02
7.7             	-6.92129796e-02
7.75            	-6.95023655e-02
7.8             	-6.97903201e-02
7.85            	-7.00768508e-02
7.9             	-7.03619649e-02
7.95            	-7.06456697e-02
8               	-7.09279725e-02
8.05            	-7.12088804e-02
8.1             	-7.14884008e-02
8.15            	-7.17665408e-02
8.2             	-7.20433078e-02
8.25            	-7.23187083e-02
8.3             	-7.25927493e-02
8.35            	-7.28654379e-02
8.4             	-7.31367813e-02
8.45            	-7.34067863e-02
8.5             	-7.36754597e-02
8.55            	-7.39428084e-02
8.6             	-7.42088391e-02
8.65            	-7.44735585e-02
8.7             	-7.47369735e-02
8.75            	-7.49990906e-02
8.8             	-7.52599164e-02
8.85            	-7.55194577e-02
8.9             	-7.57777209e-02
8.95            	-7.60347126e-02
9               	-7.62904393e-02
9.05            	-7.65449074e-02
9.1             	-7.67981233e-02
9.15            	-7.70500935e-02
9.2             	-7.73008243e-02
9.25            	-7.75503220e-02
9.3             	-7.77985929e-02
9.35            	-7.80456432e-02
9.4             	-7.82914793e-02
9.45            	-7.85361073e-02
9.5             	-7.87795332e-02
9.55            	-7.90217630e-02
9.6             	-7.92628029e-02
9.65            	-7.95026592e-02
9.7             	-7.97413378e-02
9.75            	-7.99788450e-02
9.8             	-8.02151866e-02
9.85            	-8.04503682e-02
9.9             	-8.06843956e-02
9.95            	-8.09172748e-02
10              	-8.11490119e-02
10.05           	-8.13796126e-02
10.1            	-8.16090827e-02
10.15           	-8.18374279e-02
10.2            	-8.20646538e-02
10.25           	-8.22907661e-02
10.3            	-8.25157705e-02
10.35           	-8.27396727e-02
10.4            	-8.29624781e-02
10.45           	-8.31841925e-02
10.5            	-8.34048212e-02
10.55           	-8.36243699e-02
10.6            	-8.38428440e-02
10.65           	-8.40602488e-02
10.7            	-8.42765900e-02
10.75           	-8.44918727e-02
10.8            	-8.47061025e-02
10.85           	-8.49192846e-02
10.9            	-8.51314244e-02
10.95           	-8.53425270e-02
11              	-8.55525978e-02
11.05           	-8.57616416e-02
11.1            	-8.59696638e-02
11.15           	-8.61766701e-02
11.2            	-8.63826658e-02
11.25           	-8.65876559e-02
11.3            	-8.67916453e-02
11.35           	-8.69946380e-02
11.4            	-8.71966394e-02
11.45           	-8.73976550e-02
11.5            	-8.75976901e-02
11.55           	-8.77967495e-02
11.6            	-8.79948380e-02
11.65           	-8.81919603e-02
11.7            	-8.83881214e-02
11.75           	-8.85833262e-02
11.8            	-8.87775795e-02
11.85           	-8.89708862e-02
11.9            	-8.91632509e-02
11.95           	-8.93546785e-02
12              	-8.95451736e-02
12.05           	-8.97347410e-02
12.1            	-8.99233853e-02
12.15           	-9.01111112e-02
12.2            	-9.02979234e-02
12.25           	-9.04838264e-02
12.3            	-9.06688247e-02
12.35           	-9.08529231e-02
12.4            	-9.10361260e-02
12.45           	-9.12184378e-02
12.5            	-9.13998632e-02
12.55           	-9.15804065e-02
12.6            	-9.17600722e-02
12.65           	-9.19388647e-02
12.7            	-9.21167884e-02
12.75           	-9.22938477e-02
12.8            	-9.24700469e-02
12.85           	-9.26453903e-02
12.9            	-9.28198823e-02
12.95           	-9.29935271e-02
13              	-9.31663290e-02
13.05           	-9.33382922e-02
13.1            	-9.35094209e-02
13.15           	-9.36797194e-02
13.2            	-9.38491917e-02
13.25           	-9.40178421e-02
13.3            	-9.41856747e-02
13.35           	-9.43526935e-02
13.4            	-9.45189026e-02
13.45           	-9.46843062e-02
13.5            	-9.48489082e-02
13.55           	-9.50127127e-02
13.6            	-9.51757236e-02
13.65           	-9.53379450e-02
13.7            	-9.54993808e-02
13.75           	-9.56600350e-02
13.8            	-9.58199114e-02
13.85           	-9.59790139e-02
13.9            	-9.61373465e-02
13.95           	-9.62949129e-02
14              	-9.64517171e-02
14.05           	-9.66077628e-02
14.1            	-9.67630538e-02
14.15           	-9.69175940e-02
14.2            	-9.70713869e-02
14.25           	-9.72244365e-02
14.3            	-9.73767464e-02
14.35           	-9.75283203e-02
14.4            	-9.76791619e-02
14.45           	-9.78292749e-02
14.5            	-9.79786628e-02
14.55           	-9.81273293e-02
14.6            	-9.82752781e-02
14.65           	-9.84225127e-02
14.7            	-9.85690366e-02
14.75           	-9.87148534e-02
14.8            	-9.88599667e-02
14.85           	-9.90043799e-02
14.9            	-9.91480965e-02
14.95           	-9.92911201e-02
15              	-9.94334540e-02
15.05           	-9.95751018e-02
15.1            	-9.97160667e-02
15.15           	-9.98563523e-02
15.2            	-9.99959620e-02
15.25           	-1.00134899e-01
15.3            	-1.00273167e-01
15.35           	-1.00410769e-01
15.4            	-1.00547708e-01
15.45           	-1.00683988e-01
15.5            	-1.00819611e-01
15.55           	-1.00954582e-01
15.6            	-1.01088904e-01
15.65           	-1.01222579e-01
15.7            	-1.01355611e-01
15.75           	-1.01488004e-01
15.8            	-1.01619759e-01
15.85           	-1.01750881e-01
15.9            	-1.01881373e-01
15.95           	-1.02011237e-01
16              	-1.02140477e-01
16.05           	-1.02269096e-01
16.1            	-1.02397097e-01
16.15           	-1.02524484e-01
16.2            	-1.02651258e-01
16.25           	-1.02777424e-01
16.3            	-1.02902984e-01
16.35           	-1.03027941e-01
16.4            	-1.03152298e-01
16.45           	-1.03276058e-01
16.5            	-1.03399225e-01
16.55           	-1.03521800e-01
16.6            	-1.03643788e-01
16.65           	-1.03765190e-01
16.7            	-1.03886010e-01
16.75           	-1.04006251e-01
16.8            	-1.04125916e-01
16.85           	-1.04245007e-01
16.9            	-1.04363527e-01
16.95           	-1.04481479e-01
17              	-1.04598866e-01
17.05           	-1.04715691e-01
17.1            	-1.04831956e-01
17.15           	-1.04947664e-01
17.2            	-1.05062819e-01
17.25           	-1.05177422e-01
17.3            	-1.05291476e-01
17.35           	-1.05404985e-01
17.4            	-1.05517950e-01
17.45           	-1.05630375e-01
17.5            	-1.05742262e-01
17.55           	-1.05853614e-01
17.6            	-1.05964434e-01
17.65           	-1.06074723e-01
17.7            	-1.06184485e-01
17.75           	-1.06293723e-01
17.8            	-1.06402438e-01
17.85           	-1.06510634e-01
17.9            	-1.06618313e-01
17.95           	-1.06725477e-01
18              	-1.06832129e-01
18.05           	-1.06938272e-01
18.1            	-1.07043909e-01
18.15           	-1.07149040e-01
18.2            	-1.07253670e-01
18.25           	-1.07357801e-01
18.3            	-1.07461434e-01
18.35           	-1.07564573e-01
18.4            	-1.07667220e-01
18.45           	-1.07769377e-01
18.5            	-1.07871047e-01
18.55           	-1.07972232e-01
18.6            	-1.08072934e-01
18.65           	-1.08173156e-01
18.7            	-1.08272901e-01
18.75           	-1.08372170e-01
18.8            	-1.08470966e-01
18.85           	-1.08569291e-01
18.9            	-1.08667147e-01
18.95           	-1.08764538e-01
19              	-1.08861464e-01
