# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
0.05            	-7.18904442e-05	(7.69844399e-03 -3.69770476e-11 0.00000000e+00)	1.52300000e+00
0.1             	-1.45747419e-04	(1.45747419e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.15            	-2.18032694e-04	(2.18032694e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.2             	-2.89200210e-04	(2.89200210e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.25            	-3.59370596e-04	(3.59370596e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.3             	-4.28581907e-04	(4.28581907e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.35            	-4.96931122e-04	(4.96931122e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.4             	-5.64451925e-04	(5.64451925e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.45            	-6.31201742e-04	(6.31201742e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.5             	-6.97221435e-04	(6.97221435e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.55            	-7.62539145e-04	(7.62539145e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.6             	-8.27192815e-04	(8.27192815e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.65            	-8.91218689e-04	(8.91218689e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.7             	-9.54645715e-04	(9.54645715e-02 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.75            	-1.01749719e-03	(1.01749719e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.8             	-1.07979379e-03	(1.07979379e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.85            	-1.14155743e-03	(1.14155743e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.9             	-1.20282045e-03	(1.20282045e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
0.95            	-1.26356248e-03	(1.26356248e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1               	-1.32383250e-03	(1.32383250e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.05            	-1.38361644e-03	(1.38361644e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.1             	-1.44296906e-03	(1.44296906e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.15            	-1.50185749e-03	(1.50185749e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.2             	-1.56031556e-03	(1.56031556e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.25            	-1.61837410e-03	(1.61837410e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.3             	-1.67599848e-03	(1.67599848e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.35            	-1.73322081e-03	(1.73322081e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.4             	-1.79007140e-03	(1.79007140e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.45            	-1.84651359e-03	(1.84651359e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.5             	-1.90257986e-03	(1.90257986e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.55            	-1.95829572e-03	(1.95829572e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.6             	-2.01362501e-03	(2.01362501e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.65            	-2.06859962e-03	(2.06859962e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.7             	-2.12324182e-03	(2.12324182e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
1.75            	-2.17751607e-03	(2.17751607e-01 0.00000000e+00 0.00000000e+00)	1.52300000e+00
