"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0.11789,1,0,9,-0.5,0
0.052983,2.2142e-06,0,0.11789,1,0.01,9,-0.49,0
0.10597,4.4284e-06,0,0.11789,1,0.02,9,-0.48,0
0.15895,6.6426e-06,0,0.11789,1,0.03,9,-0.47,0
0.21193,8.8568e-06,0,0.11789,1,0.04,9,-0.46,0
0.26492,1.1071e-05,0,0.11789,1,0.05,9,-0.45,0
0.3179,1.3285e-05,0,0.11789,1,0.06,9,-0.44,0
0.37088,1.5499e-05,0,0.11789,1,0.07,9,-0.43,0
0.42387,1.7714e-05,0,0.11789,1,0.08,9,-0.42,0
0.47685,1.9928e-05,0,0.11789,1,0.09,9,-0.41,0
0.52983,2.2142e-05,0,0.11789,1,0.1,9,-0.4,0
0.57101,2.5613e-05,0,0.11789,1,0.11,9,-0.39,0
0.61219,2.9083e-05,0,0.11789,1,0.12,9,-0.38,0
0.65337,3.2554e-05,0,0.11789,1,0.13,9,-0.37,0
0.69454,3.6024e-05,0,0.11789,1,0.14,9,-0.36,0
0.73572,3.9495e-05,0,0.11789,1,0.15,9,-0.35,0
0.7769,4.2966e-05,0,0.11789,1,0.16,9,-0.34,0
0.81808,4.6436e-05,0,0.11789,1,0.17,9,-0.33,0
0.85925,4.9907e-05,0,0.11789,1,0.18,9,-0.32,0
0.90043,5.3377e-05,0,0.11789,1,0.19,9,-0.31,0
0.94161,5.6848e-05,0,0.11789,1,0.2,9,-0.3,0
0.97098,5.9125e-05,0,0.11789,1,0.21,9,-0.29,0
1.0003,6.1401e-05,0,0.11789,1,0.22,9,-0.28,0
1.0297,6.3678e-05,0,0.11789,1,0.23,9,-0.27,0
1.0591,6.5955e-05,0,0.1179,1,0.24,9,-0.26,0
1.0885,6.8231e-05,0,0.1179,1,0.25,9,-0.25,0
1.1178,7.0508e-05,0,0.1179,1,0.26,9,-0.24,0
1.1472,7.2785e-05,0,0.1179,1,0.27,9,-0.23,0
1.1766,7.5061e-05,0,0.1179,1,0.28,9,-0.22,0
1.2059,7.7338e-05,0,0.1179,1,0.29,9,-0.21,0
1.2353,7.9615e-05,0,0.1179,1,0.3,9,-0.2,0
1.2529,7.759e-05,0,0.1179,1,0.31,9,-0.19,0
1.2705,7.5565e-05,0,0.1179,1,0.32,9,-0.18,0
1.2881,7.354e-05,0,0.1179,1,0.33,9,-0.17,0
1.3057,7.1516e-05,0,0.1179,1,0.34,9,-0.16,0
1.3232,6.9491e-05,0,0.1179,1,0.35,9,-0.15,0
1.3408,6.7466e-05,0,0.1179,1,0.36,9,-0.14,0
1.3584,6.5442e-05,0,0.1179,1,0.37,9,-0.13,0
1.376,6.3417e-05,0,0.1179,1,0.38,9,-0.12,0
1.3936,6.1392e-05,0,0.1179,1,0.39,9,-0.11,0
1.4112,5.9367e-05,0,0.1179,1,0.4,9,-0.1,0
1.417,5.3429e-05,0,0.1179,1,0.41,9,-0.09,0
1.4229,4.7491e-05,0,0.1179,1,0.42,9,-0.08,0
1.4287,4.1553e-05,0,0.1179,1,0.43,9,-0.07,0
1.4346,3.5614e-05,0,0.1179,1,0.44,9,-0.06,0
1.4405,2.9676e-05,0,0.1179,1,0.45,9,-0.05,0
1.4463,2.3738e-05,0,0.1179,1,0.46,9,-0.04,0
1.4522,1.78e-05,0,0.1179,1,0.47,9,-0.03,0
1.458,1.1861e-05,0,0.1179,1,0.48,9,-0.02,0
1.4639,5.9231e-06,0,0.1179,1,0.49,9,-0.01,0
1.4697,-1.519e-08,0,0.1179,1,0.5,9,0,0
1.4639,-5.9525e-06,0,0.1179,1,0.51,9,0.01,0
1.458,-1.189e-05,0,0.1179,1,0.52,9,0.02,0
1.4522,-1.7827e-05,0,0.1179,1,0.53,9,0.03,0
1.4463,-2.3764e-05,0,0.1179,1,0.54,9,0.04,0
1.4405,-2.9702e-05,0,0.1179,1,0.55,9,0.05,0
1.4346,-3.5639e-05,0,0.1179,1,0.56,9,0.06,0
1.4287,-4.1576e-05,0,0.1179,1,0.57,9,0.07,0
1.4229,-4.7513e-05,0,0.1179,1,0.58,9,0.08,0
1.417,-5.3451e-05,0,0.1179,1,0.59,9,0.09,0
1.4112,-5.9388e-05,0,0.1179,1,0.6,9,0.1,0
1.3936,-6.141e-05,0,0.1179,1,0.61,9,0.11,0
1.376,-6.3432e-05,0,0.1179,1,0.62,9,0.12,0
1.3584,-6.5454e-05,0,0.1179,1,0.63,9,0.13,0
1.3408,-6.7476e-05,0,0.1179,1,0.64,9,0.14,0
1.3232,-6.9498e-05,0,0.1179,1,0.65,9,0.15,0
1.3057,-7.152e-05,0,0.1179,1,0.66,9,0.16,0
1.2881,-7.3542e-05,0,0.1179,1,0.67,9,0.17,0
1.2705,-7.5564e-05,0,0.1179,1,0.68,9,0.18,0
1.2529,-7.7586e-05,0,0.1179,1,0.69,9,0.19,0
1.2353,-7.9608e-05,0,0.1179,1,0.7,9,0.2,0
1.2059,-7.7329e-05,0,0.1179,1,0.71,9,0.21,0
1.1766,-7.505e-05,0,0.1179,1,0.72,9,0.22,0
1.1472,-7.2771e-05,0,0.1179,1,0.73,9,0.23,0
1.1178,-7.0492e-05,0,0.1179,1,0.74,9,0.24,0
1.0885,-6.8213e-05,0,0.1179,1,0.75,9,0.25,0
1.0591,-6.5934e-05,0,0.1179,1,0.76,9,0.26,0
1.0297,-6.3655e-05,0,0.11789,1,0.77,9,0.27,0
1.0003,-6.1376e-05,0,0.11789,1,0.78,9,0.28,0
0.97098,-5.9097e-05,0,0.11789,1,0.79,9,0.29,0
0.94161,-5.6818e-05,0,0.11789,1,0.8,9,0.3,0
0.90043,-5.3348e-05,0,0.11789,1,0.81,9,0.31,0
0.85925,-4.9878e-05,0,0.11789,1,0.82,9,0.32,0
0.81808,-4.6407e-05,0,0.11789,1,0.83,9,0.33,0
0.7769,-4.2937e-05,0,0.11789,1,0.84,9,0.34,0
0.73572,-3.9466e-05,0,0.11789,1,0.85,9,0.35,0
