# Region type : patch outlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	max(U)	max(p)
0.05            	(7.32626423e-03 1.26238900e-06 0.00000000e+00)	0.00000000e+00
0.1             	(1.49663233e-02 6.75226351e-07 0.00000000e+00)	0.00000000e+00
0.15            	(2.25698643e-02 9.79795015e-07 0.00000000e+00)	0.00000000e+00
0.2             	(3.01728005e-02 1.13703117e-06 0.00000000e+00)	0.00000000e+00
0.25            	(3.77747621e-02 1.24527398e-06 0.00000000e+00)	0.00000000e+00
0.3             	(4.53768590e-02 1.30924223e-06 0.00000000e+00)	0.00000000e+00
0.35            	(5.29788904e-02 1.33771444e-06 0.00000000e+00)	0.00000000e+00
0.4             	(6.05808356e-02 1.33927278e-06 0.00000000e+00)	0.00000000e+00
0.45            	(6.81823623e-02 1.32028796e-06 0.00000000e+00)	0.00000000e+00
0.5             	(7.57832388e-02 1.28538039e-06 0.00000000e+00)	0.00000000e+00
0.55            	(8.33831601e-02 1.23878115e-06 0.00000000e+00)	0.00000000e+00
0.6             	(9.09817463e-02 1.18386304e-06 0.00000000e+00)	0.00000000e+00
0.65            	(9.85785688e-02 1.12319165e-06 0.00000000e+00)	0.00000000e+00
0.7             	(1.06173167e-01 1.05875234e-06 0.00000000e+00)	0.00000000e+00
0.75            	(1.13765086e-01 9.92112980e-07 0.00000000e+00)	0.00000000e+00
0.8             	(1.21353851e-01 9.24500246e-07 0.00000000e+00)	0.00000000e+00
0.85            	(1.28938962e-01 8.56886445e-07 0.00000000e+00)	0.00000000e+00
0.9             	(1.36519780e-01 7.90146130e-07 0.00000000e+00)	0.00000000e+00
0.95            	(1.44095952e-01 7.24529124e-07 0.00000000e+00)	0.00000000e+00
1               	(1.51666779e-01 6.60949115e-07 0.00000000e+00)	0.00000000e+00
1.05            	(1.59231753e-01 5.99486489e-07 0.00000000e+00)	0.00000000e+00
1.1             	(1.66790056e-01 5.40896265e-07 0.00000000e+00)	0.00000000e+00
1.15            	(1.74341302e-01 4.84681112e-07 0.00000000e+00)	0.00000000e+00
1.2             	(1.81884808e-01 4.31448408e-07 0.00000000e+00)	0.00000000e+00
1.25            	(1.89419714e-01 3.87902056e-07 0.00000000e+00)	0.00000000e+00
1.3             	(1.96945676e-01 3.47128240e-07 0.00000000e+00)	0.00000000e+00
1.35            	(2.04462003e-01 3.07614129e-07 0.00000000e+00)	0.00000000e+00
1.4             	(2.11967804e-01 2.70124448e-07 0.00000000e+00)	0.00000000e+00
1.45            	(2.19462733e-01 2.34204459e-07 0.00000000e+00)	0.00000000e+00
1.5             	(2.26946097e-01 2.00504333e-07 0.00000000e+00)	0.00000000e+00
1.55            	(2.34417015e-01 1.69388658e-07 0.00000000e+00)	0.00000000e+00
1.6             	(2.41875173e-01 1.40088622e-07 0.00000000e+00)	0.00000000e+00
1.65            	(2.49319891e-01 1.13250589e-07 0.00000000e+00)	0.00000000e+00
1.7             	(2.56750310e-01 8.91480275e-08 0.00000000e+00)	0.00000000e+00
1.75            	(2.64166147e-01 6.67886083e-08 0.00000000e+00)	0.00000000e+00
1.8             	(2.71566748e-01 4.68420129e-08 0.00000000e+00)	0.00000000e+00
1.85            	(2.78951289e-01 2.95371599e-08 0.00000000e+00)	0.00000000e+00
1.9             	(2.86319530e-01 1.50819565e-08 0.00000000e+00)	0.00000000e+00
