# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.05            	-7.24663230e-04
0.1             	-1.46914861e-03
0.15            	-2.19779170e-03
0.2             	-2.91516722e-03
0.25            	-3.62249130e-03
0.3             	-4.32014789e-03
0.35            	-5.00911423e-03
0.4             	-5.68972981e-03
0.45            	-6.36257222e-03
0.5             	-7.02805501e-03
0.55            	-7.68646243e-03
0.6             	-8.33817680e-03
0.65            	-8.98356287e-03
0.7             	-9.62291204e-03
0.75            	-1.02564592e-02
0.8             	-1.08844127e-02
0.85            	-1.15069947e-02
0.9             	-1.21245305e-02
0.95            	-1.27368137e-02
1               	-1.33443387e-02
1.05            	-1.39469617e-02
1.1             	-1.45452405e-02
1.15            	-1.51388376e-02
1.2             	-1.57280972e-02
1.25            	-1.63133306e-02
1.3             	-1.68941853e-02
1.35            	-1.74709875e-02
1.4             	-1.80440441e-02
1.45            	-1.86129819e-02
1.5             	-1.91781305e-02
1.55            	-1.97397481e-02
1.6             	-2.02974670e-02
1.65            	-2.08516111e-02
1.7             	-2.14024055e-02
1.75            	-2.19494887e-02
1.8             	-2.24931849e-02
1.85            	-2.30336809e-02
1.9             	-2.35706292e-02
1.95            	-2.41043537e-02
2               	-2.46350043e-02
2.05            	-2.51622519e-02
2.1             	-2.56864201e-02
2.15            	-2.62076222e-02
2.2             	-2.67255509e-02
2.25            	-2.72405287e-02
2.3             	-2.77525550e-02
2.35            	-2.82615838e-02
2.4             	-2.87676988e-02
2.45            	-2.92709288e-02
2.5             	-2.97712971e-02
2.55            	-3.02688357e-02
2.6             	-3.07635743e-02
2.65            	-3.12555411e-02
2.7             	-3.17447641e-02
2.75            	-3.22312702e-02
2.8             	-3.27150856e-02
2.85            	-3.31962356e-02
2.9             	-3.36747451e-02
2.95            	-3.41506381e-02
3               	-3.46239380e-02
3.05            	-3.50946677e-02
3.1             	-3.55628495e-02
3.15            	-3.60285052e-02
3.2             	-3.64916559e-02
3.25            	-3.69523224e-02
3.3             	-3.74105249e-02
3.35            	-3.78662833e-02
3.4             	-3.83196170e-02
3.45            	-3.87705448e-02
3.5             	-3.92190854e-02
3.55            	-3.96652569e-02
3.6             	-4.01090773e-02
3.65            	-4.05505638e-02
3.7             	-4.09897338e-02
3.75            	-4.14266039e-02
3.8             	-4.18611907e-02
3.85            	-4.22935104e-02
3.9             	-4.27235790e-02
3.95            	-4.31514120e-02
4               	-4.35770248e-02
4.05            	-4.40004327e-02
4.1             	-4.44216504e-02
4.15            	-4.48406925e-02
4.2             	-4.52575736e-02
4.25            	-4.56723078e-02
4.3             	-4.60849092e-02
4.35            	-4.64953913e-02
4.4             	-4.69037680e-02
4.45            	-4.73100524e-02
4.5             	-4.77142580e-02
4.55            	-4.81163975e-02
4.6             	-4.85164840e-02
4.65            	-4.89145301e-02
4.7             	-4.93105483e-02
4.75            	-4.97045509e-02
4.8             	-5.00965503e-02
4.85            	-5.04865584e-02
4.9             	-5.08745872e-02
4.95            	-5.12606484e-02
5               	-5.16447538e-02
5.05            	-5.20269146e-02
5.1             	-5.24071426e-02
5.15            	-5.27854488e-02
5.2             	-5.31618445e-02
5.25            	-5.35363406e-02
5.3             	-5.39089481e-02
5.35            	-5.42796777e-02
5.4             	-5.46485402e-02
5.45            	-5.50155463e-02
5.5             	-5.53807062e-02
5.55            	-5.57440305e-02
5.6             	-5.61055295e-02
5.65            	-5.64652134e-02
5.7             	-5.68230921e-02
5.75            	-5.71791759e-02
5.8             	-5.75334745e-02
5.85            	-5.78859980e-02
5.9             	-5.82367560e-02
5.95            	-5.85857583e-02
6               	-5.89330143e-02
6.05            	-5.92785337e-02
6.1             	-5.96223259e-02
6.15            	-5.99644003e-02
6.2             	-6.03047661e-02
6.25            	-6.06434327e-02
6.3             	-6.09804092e-02
