# Region type : patch inlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Weight field  : p
# Time          	weightedAverage(phi)	weightedAverage(U)	weightedAverage(p)
0.05            	-7.24663230e-05	(7.76011242e-03 -3.72732516e-11 0.00000000e+00)	1.53520000e+00
0.1             	-1.46914861e-04	(1.46914861e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.15            	-2.19779170e-04	(2.19779170e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.2             	-2.91516722e-04	(2.91516722e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.25            	-3.62249130e-04	(3.62249130e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.3             	-4.32014789e-04	(4.32014789e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.35            	-5.00911423e-04	(5.00911423e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.4             	-5.68972981e-04	(5.68972981e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.45            	-6.36257222e-04	(6.36257222e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.5             	-7.02805501e-04	(7.02805501e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.55            	-7.68646243e-04	(7.68646243e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.6             	-8.33817680e-04	(8.33817680e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.65            	-8.98356287e-04	(8.98356287e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.7             	-9.62291204e-04	(9.62291204e-02 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.75            	-1.02564592e-03	(1.02564592e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.8             	-1.08844127e-03	(1.08844127e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.85            	-1.15069947e-03	(1.15069947e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.9             	-1.21245305e-03	(1.21245305e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
0.95            	-1.27368137e-03	(1.27368137e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1               	-1.33443387e-03	(1.33443387e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.05            	-1.39469617e-03	(1.39469617e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.1             	-1.45452405e-03	(1.45452405e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.15            	-1.51388376e-03	(1.51388376e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.2             	-1.57280972e-03	(1.57280972e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.25            	-1.63133306e-03	(1.63133306e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.3             	-1.68941853e-03	(1.68941853e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.35            	-1.74709875e-03	(1.74709875e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.4             	-1.80440441e-03	(1.80440441e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.45            	-1.86129819e-03	(1.86129819e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.5             	-1.91781305e-03	(1.91781305e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.55            	-1.97397481e-03	(1.97397481e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.6             	-2.02974670e-03	(2.02974670e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.65            	-2.08516111e-03	(2.08516111e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.7             	-2.14024055e-03	(2.14024055e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.75            	-2.19494887e-03	(2.19494887e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.8             	-2.24931849e-03	(2.24931849e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.85            	-2.30336809e-03	(2.30336809e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.9             	-2.35706292e-03	(2.35706292e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
1.95            	-2.41043537e-03	(2.41043537e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
2               	-2.46350043e-03	(2.46350043e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
2.05            	-2.51622519e-03	(2.51622519e-01 0.00000000e+00 0.00000000e+00)	1.53520000e+00
