# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.05            	U               	(-5.43976686e-03 -2.02527055e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(-5.43976686e-03 -2.02527055e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.05            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.71288249e+00	(2.50000000e-01 -5.00000000e-02 5.00000000e-02)
0.1             	U               	(1.58141528e-03 -2.59111401e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(1.58141528e-03 -2.59111401e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.1             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.15            	U               	(8.56785631e-03 -2.38055214e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.56785631e-03 -2.38055214e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.15            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.2             	U               	(1.53505586e-02 -2.07911577e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(1.53505586e-02 -2.07911577e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.2             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.25            	U               	(2.16122767e-02 -1.76727058e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(2.16122767e-02 -1.76727058e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.25            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.3             	U               	(2.74080902e-02 -1.48039261e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(2.74080902e-02 -1.48039261e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.3             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.35            	U               	(3.27769961e-02 -1.22644246e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(3.27769961e-02 -1.22644246e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.35            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.4             	U               	(3.77653659e-02 -1.00542842e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(3.77653659e-02 -1.00542842e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.4             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.45            	U               	(4.24185797e-02 -8.14653506e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(4.24185797e-02 -8.14653506e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.45            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.5             	U               	(4.67765293e-02 -6.50541932e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(4.67765293e-02 -6.50541932e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.5             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.55            	U               	(5.08731184e-02 -5.09697014e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(5.08731184e-02 -5.09697014e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.55            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.6             	U               	(5.47376491e-02 -3.88391968e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(5.47376491e-02 -3.88391968e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.6             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.65            	U               	(5.83954440e-02 -2.82963663e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(5.83954440e-02 -2.82963663e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.65            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.7             	U               	(6.18680440e-02 -1.90120412e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(6.18680440e-02 -1.90120412e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.7             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.75            	U               	(6.51735001e-02 -1.06647042e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(6.51735001e-02 -1.06647042e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.75            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.8             	U               	(6.83257364e-02 -2.77740131e-05 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(6.83257364e-02 -2.77740131e-05 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.8             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.85            	U               	(7.13453098e-02 3.89556997e-05 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(7.13453098e-02 3.89556997e-05 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.85            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.9             	U               	(7.42463884e-02 9.46489514e-05 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(7.42463884e-02 9.46489514e-05 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.9             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
0.95            	U               	(7.70445388e-02 1.40111860e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(7.70445388e-02 1.40111860e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
0.95            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
1               	U               	(7.97523216e-02 1.77502763e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(7.97523216e-02 1.77502763e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
1               	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
1.05            	U               	(8.23674389e-02 2.10216098e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.23674389e-02 2.10216098e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
1.05            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
1.1             	U               	(8.49026469e-02 2.38812095e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.49026469e-02 2.38812095e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
1.1             	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
1.15            	U               	(8.73600351e-02 2.63929465e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(8.73600351e-02 2.63929465e-04 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
1.15            	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.53520000e+00	(0.00000000e+00 -4.50000000e-01 5.00000000e-02)
