# Region type : patch outlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	sum(phi)
0.05            	7.24666328e-04
0.1             	1.46927783e-03
0.15            	2.19773553e-03
0.2             	2.91522029e-03
0.25            	3.62242114e-03
0.3             	4.32017109e-03
0.35            	5.00907888e-03
0.4             	5.68970647e-03
0.45            	6.36252643e-03
0.5             	7.02797217e-03
0.55            	7.68642736e-03
0.6             	8.33823180e-03
0.65            	8.98368905e-03
0.7             	9.62307239e-03
0.75            	1.02566320e-02
0.8             	1.08845957e-02
0.85            	1.15071707e-02
0.9             	1.21245347e-02
0.95            	1.27368802e-02
1               	1.33443524e-02
1.05            	1.39471052e-02
1.1             	1.45452508e-02
1.15            	1.51389373e-02
1.2             	1.57282734e-02
1.25            	1.63133432e-02
1.3             	1.68942768e-02
1.35            	1.74711615e-02
1.4             	1.80440592e-02
1.45            	1.86130824e-02
1.5             	1.91783013e-02
1.55            	1.97397634e-02
1.6             	2.02975693e-02
1.65            	2.08517767e-02
1.7             	2.14024216e-02
1.75            	2.19495950e-02
1.8             	2.24933444e-02
1.85            	2.30336975e-02
1.9             	2.35707381e-02
1.95            	2.41045055e-02
2               	2.46350212e-02
2.05            	2.51623629e-02
2.1             	2.56865633e-02
2.15            	2.62076391e-02
2.2             	2.67256629e-02
2.25            	2.72406622e-02
2.3             	2.77526629e-02
2.35            	2.82617035e-02
2.4             	2.87678199e-02
2.45            	2.92710449e-02
2.5             	2.97714101e-02
2.55            	3.02689457e-02
2.6             	3.07636811e-02
2.65            	3.12556450e-02
2.7             	3.17448649e-02
2.75            	3.22313680e-02
2.8             	3.27151804e-02
2.85            	3.31963276e-02
2.9             	3.36748341e-02
2.95            	3.41507242e-02
3               	3.46240213e-02
3.05            	3.50947482e-02
3.1             	3.55629273e-02
3.15            	3.60285802e-02
3.2             	3.64917283e-02
3.25            	3.69523922e-02
3.3             	3.74105922e-02
3.35            	3.78663482e-02
3.4             	3.83196795e-02
3.45            	3.87706050e-02
3.5             	3.92191433e-02
3.55            	3.96653127e-02
3.6             	4.01091309e-02
3.65            	4.05506155e-02
3.7             	4.09897835e-02
3.75            	4.14266518e-02
3.8             	4.18612369e-02
3.85            	4.22935550e-02
3.9             	4.27236220e-02
3.95            	4.31514536e-02
4               	4.35770651e-02
4.05            	4.40004716e-02
4.1             	4.44216881e-02
4.15            	4.48407292e-02
4.2             	4.52576093e-02
4.25            	4.56723428e-02
4.3             	4.60849433e-02
4.35            	4.64954247e-02
4.4             	4.69038007e-02
4.45            	4.73100846e-02
4.5             	4.77142896e-02
4.55            	4.81164288e-02
4.6             	4.85165149e-02
4.65            	4.89145608e-02
4.7             	4.93105788e-02
4.75            	4.97045814e-02
4.8             	5.00965807e-02
4.85            	5.04865889e-02
4.9             	5.08746178e-02
4.95            	5.12606792e-02
5               	5.16447848e-02
5.05            	5.20269461e-02
5.1             	5.24071744e-02
5.15            	5.27854811e-02
5.2             	5.31618772e-02
5.25            	5.35363738e-02
5.3             	5.39089819e-02
5.35            	5.42797121e-02
5.4             	5.46485753e-02
5.45            	5.50155820e-02
5.5             	5.53807427e-02
5.55            	5.57440678e-02
5.6             	5.61055676e-02
5.65            	5.64652525e-02
5.7             	5.68231321e-02
5.75            	5.71792168e-02
5.8             	5.75335162e-02
5.85            	5.78860407e-02
5.9             	5.82367996e-02
5.95            	5.85858028e-02
6               	5.89330598e-02
6.05            	5.92785802e-02
6.1             	5.96223734e-02
6.15            	5.99644488e-02
6.2             	6.03048157e-02
6.25            	6.06434832e-02
6.3             	6.09804605e-02
6.35            	6.13157567e-02
6.4             	6.16493808e-02
6.45            	6.19813419e-02
6.5             	6.23116487e-02
6.55            	6.26403102e-02
6.6             	6.29673350e-02
6.65            	6.32927319e-02
6.7             	6.36165095e-02
6.75            	6.39386763e-02
6.8             	6.42592409e-02
6.85            	6.45782118e-02
6.9             	6.48955974e-02
6.95            	6.52114060e-02
7               	6.55256458e-02
7.05            	6.58383251e-02
7.1             	6.61494520e-02
7.15            	6.64590348e-02
7.2             	6.67670814e-02
7.25            	6.70736000e-02
7.3             	6.73785985e-02
7.35            	6.76820850e-02
7.4             	6.79840672e-02
7.45            	6.82845529e-02
7.5             	6.85835499e-02
7.55            	6.88810659e-02
7.6             	6.91771088e-02
7.65            	6.94716860e-02
7.7             	6.97648051e-02
7.75            	7.00564738e-02
7.8             	7.03466996e-02
7.85            	7.06354898e-02
7.9             	7.09228520e-02
7.95            	7.12087934e-02
8               	7.14933215e-02
8.05            	7.17764437e-02
8.1             	7.20581669e-02
8.15            	7.23384981e-02
8.2             	7.26174447e-02
8.25            	7.28950140e-02
8.3             	7.31712133e-02
8.35            	7.34460494e-02
8.4             	7.37195292e-02
8.45            	7.39916599e-02
8.5             	7.42624482e-02
8.55            	7.45319010e-02
8.6             	7.48000250e-02
8.65            	7.50668273e-02
8.7             	7.53323146e-02
8.75            	7.55964936e-02
8.8             	7.58593709e-02
8.85            	7.61209533e-02
8.9             	7.63812473e-02
8.95            	7.66402596e-02
9               	7.68979967e-02
9.05            	7.71544652e-02
9.1             	7.74096714e-02
9.15            	7.76636219e-02
9.2             	7.79163230e-02
9.25            	7.81677812e-02
9.3             	7.84180027e-02
9.35            	7.86669940e-02
9.4             	7.89147615e-02
9.45            	7.91613109e-02
9.5             	7.94066486e-02
9.55            	7.96507807e-02
9.6             	7.98937135e-02
9.65            	8.01354531e-02
9.7             	8.03760060e-02
9.75            	8.06153780e-02
9.8             	8.08535747e-02
9.85            	8.10906022e-02
9.9             	8.13264666e-02
9.95            	8.15611738e-02
10              	8.17947296e-02
10.05           	8.20271401e-02
10.1            	8.22584109e-02
10.15           	8.24885478e-02
10.2            	8.27175566e-02
10.25           	8.29454430e-02
10.3            	8.31722127e-02
10.35           	8.33978713e-02
10.4            	8.36224246e-02
10.45           	8.38458781e-02
10.5            	8.40682374e-02
10.55           	8.42895081e-02
10.6            	8.45096956e-02
10.65           	8.47288055e-02
10.7            	8.49468432e-02
10.75           	8.51638141e-02
10.8            	8.53797238e-02
10.85           	8.55945775e-02
10.9            	8.58083805e-02
10.95           	8.60211383e-02
11              	8.62328561e-02
11.05           	8.64435397e-02
11.1            	8.66531935e-02
11.15           	8.68618230e-02
11.2            	8.70694330e-02
11.25           	8.72760287e-02
11.3            	8.74816151e-02
11.35           	8.76861986e-02
11.4            	8.78897841e-02
11.45           	8.80923760e-02
11.5            	8.82939789e-02
11.55           	8.84945981e-02
11.6            	8.86942387e-02
11.65           	8.88929057e-02
11.7            	8.90906040e-02
11.75           	8.92873385e-02
11.8            	8.94831139e-02
11.85           	8.96779352e-02
11.9            	8.98718072e-02
11.95           	9.00647346e-02
12              	9.02567223e-02
12.05           	9.04477749e-02
12.1            	9.06378972e-02
12.15           	9.08270939e-02
12.2            	9.10153696e-02
12.25           	9.12027290e-02
12.3            	9.13891768e-02
12.35           	9.15747174e-02
12.4            	9.17593554e-02
12.45           	9.19430955e-02
12.5            	9.21259421e-02
12.55           	9.23078998e-02
12.6            	9.24889729e-02
12.65           	9.26691660e-02
12.7            	9.28484835e-02
12.75           	9.30269298e-02
12.8            	9.32045093e-02
12.85           	9.33812263e-02
12.9            	9.35570852e-02
12.95           	9.37320903e-02
13              	9.39062459e-02
13.05           	9.40795562e-02
13.1            	9.42520255e-02
13.15           	9.44236580e-02
13.2            	9.45944580e-02
13.25           	9.47644296e-02
13.3            	9.49335769e-02
13.35           	9.51019041e-02
13.4            	9.52694154e-02
13.45           	9.54361148e-02
13.5            	9.56020064e-02
13.55           	9.57670942e-02
13.6            	9.59313823e-02
13.65           	9.60948747e-02
13.7            	9.62575753e-02
13.75           	9.64194882e-02
13.8            	9.65806173e-02
13.85           	9.67409665e-02
13.9            	9.69005397e-02
13.95           	9.70593409e-02
14              	9.72173738e-02
