# Region type : patch outlet
# Faces         : 10
# Area          : 1.00000000e-01
# Scale factor  : 1.00000000e+00
# Time          	max(U)	max(p)
0.05            	(7.38495131e-03 1.27250138e-06 0.00000000e+00)	0.00000000e+00
0.1             	(1.50862057e-02 6.80726458e-07 0.00000000e+00)	0.00000000e+00
0.15            	(2.27506520e-02 9.87607435e-07 0.00000000e+00)	0.00000000e+00
0.2             	(3.04144852e-02 1.14607747e-06 0.00000000e+00)	0.00000000e+00
0.25            	(3.80773339e-02 1.25509636e-06 0.00000000e+00)	0.00000000e+00
0.3             	(4.57403170e-02 1.31946534e-06 0.00000000e+00)	0.00000000e+00
0.35            	(5.34032319e-02 1.34802621e-06 0.00000000e+00)	0.00000000e+00
0.4             	(6.10660583e-02 1.34943102e-06 0.00000000e+00)	0.00000000e+00
0.45            	(6.87284617e-02 1.33010586e-06 0.00000000e+00)	0.00000000e+00
0.5             	(7.63902082e-02 1.29470940e-06 0.00000000e+00)	0.00000000e+00
0.55            	(8.40509900e-02 1.24751270e-06 0.00000000e+00)	0.00000000e+00
0.6             	(9.17104239e-02 1.19191985e-06 0.00000000e+00)	0.00000000e+00
0.65            	(9.93680779e-02 1.13052095e-06 0.00000000e+00)	0.00000000e+00
0.7             	(1.07023488e-01 1.06532144e-06 0.00000000e+00)	0.00000000e+00
0.75            	(1.14676196e-01 9.97905979e-07 0.00000000e+00)	0.00000000e+00
0.8             	(1.22325723e-01 9.29515793e-07 0.00000000e+00)	0.00000000e+00
0.85            	(1.29971565e-01 8.61133292e-07 0.00000000e+00)	0.00000000e+00
0.9             	(1.37613077e-01 7.93643465e-07 0.00000000e+00)	0.00000000e+00
0.95            	(1.45249904e-01 7.27292896e-07 0.00000000e+00)	0.00000000e+00
1               	(1.52881342e-01 6.63012748e-07 0.00000000e+00)	0.00000000e+00
1.05            	(1.60506879e-01 6.00878633e-07 0.00000000e+00)	0.00000000e+00
1.1             	(1.68125687e-01 5.41660835e-07 0.00000000e+00)	0.00000000e+00
1.15            	(1.75737381e-01 4.84841431e-07 0.00000000e+00)	0.00000000e+00
1.2             	(1.83341271e-01 4.31075157e-07 0.00000000e+00)	0.00000000e+00
1.25            	(1.90936488e-01 3.87298249e-07 0.00000000e+00)	0.00000000e+00
1.3             	(1.98522688e-01 3.46043778e-07 0.00000000e+00)	0.00000000e+00
1.35            	(2.06099176e-01 3.06094363e-07 0.00000000e+00)	0.00000000e+00
1.4             	(2.13665047e-01 2.68257258e-07 0.00000000e+00)	0.00000000e+00
1.45            	(2.21219960e-01 2.32022315e-07 0.00000000e+00)	0.00000000e+00
1.5             	(2.28763212e-01 1.98049407e-07 0.00000000e+00)	0.00000000e+00
1.55            	(2.36293915e-01 1.66713951e-07 0.00000000e+00)	0.00000000e+00
1.6             	(2.43811753e-01 1.37225428e-07 0.00000000e+00)	0.00000000e+00
1.65            	(2.51316043e-01 1.10244315e-07 0.00000000e+00)	0.00000000e+00
1.7             	(2.58805914e-01 8.60499135e-08 0.00000000e+00)	0.00000000e+00
1.75            	(2.66281085e-01 6.36230689e-08 0.00000000e+00)	0.00000000e+00
1.8             	(2.73740895e-01 4.36499450e-08 0.00000000e+00)	0.00000000e+00
1.85            	(2.81184514e-01 2.63650406e-08 0.00000000e+00)	0.00000000e+00
1.9             	(2.88611699e-01 1.23989916e-08 0.00000000e+00)	0.00000000e+00
1.95            	(2.96021824e-01 6.52911923e-09 0.00000000e+00)	0.00000000e+00
2               	(3.03414104e-01 1.46625049e-08 0.00000000e+00)	0.00000000e+00
2.05            	(3.10788341e-01 2.41649944e-08 0.00000000e+00)	0.00000000e+00
2.1             	(3.18143946e-01 3.25254778e-08 0.00000000e+00)	0.00000000e+00
2.15            	(3.25480186e-01 3.86691885e-08 0.00000000e+00)	0.00000000e+00
2.2             	(3.32796910e-01 4.41524687e-08 0.00000000e+00)	0.00000000e+00
2.25            	(3.40093572e-01 4.81933649e-08 0.00000000e+00)	0.00000000e+00
2.3             	(3.47369618e-01 5.07493897e-08 0.00000000e+00)	0.00000000e+00
2.35            	(3.54624657e-01 5.23118681e-08 0.00000000e+00)	0.00000000e+00
2.4             	(3.61858298e-01 5.29974541e-08 0.00000000e+00)	0.00000000e+00
2.45            	(3.69070148e-01 5.28791075e-08 0.00000000e+00)	0.00000000e+00
2.5             	(3.76259829e-01 5.20499862e-08 0.00000000e+00)	0.00000000e+00
2.55            	(3.83426975e-01 5.06040924e-08 0.00000000e+00)	0.00000000e+00
2.6             	(3.90571234e-01 4.86415395e-08 0.00000000e+00)	0.00000000e+00
2.65            	(3.97692274e-01 4.62577518e-08 0.00000000e+00)	0.00000000e+00
2.7             	(4.04789776e-01 4.35363393e-08 0.00000000e+00)	0.00000000e+00
2.75            	(4.11863438e-01 4.05526379e-08 0.00000000e+00)	0.00000000e+00
