# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
1               	U               	(6.22755714e-01 8.92887645e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(6.22755714e-01 8.92887645e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
1               	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	1.77188473e+01	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
2               	U               	(9.28030251e-01 7.58052674e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.28030251e-01 7.58052674e-03 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
2               	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	4.55262971e+01	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
3               	U               	(9.51607515e-01 1.62346647e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.51607515e-01 1.62346647e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
3               	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	4.84658302e+01	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
4               	U               	(9.31010716e-01 2.64976530e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.31010716e-01 2.64976530e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
4               	p               	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)	3.34239351e+01	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
5               	U               	(9.19382645e-01 3.32824593e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.19382645e-01 3.32824593e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
5               	p               	-1.05257190e-02	(9.95000000e+00 -5.00000000e-02 5.00000000e-02)	1.22848754e+01	(5.00000000e-02 4.50000000e-01 5.00000000e-02)
6               	U               	(9.16913726e-01 3.66292718e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)	(9.16913726e-01 3.66292718e-02 0.00000000e+00)	(5.00000000e-02 -4.50000000e-01 5.00000000e-02)
6               	p               	-4.83679897e+00	(4.50000000e-01 -5.00000000e-02 5.00000000e-02)	0.00000000e+00	(1.00000000e+01 -4.50000000e-01 5.00000000e-02)
